masterid,x,y,lon,lat
"492",918998.777587906,130335.736022949,-74.2347066963665,40.5241767417323
"494",919352.726989776,130539.557800308,-74.2334355107158,40.5247387889088
"498",919623.477783233,130525.266418457,-74.2324614881926,40.5247015381401
"510",919071.667785659,135335.755432144,-74.2344926582213,40.5379013512498
"512",919556.501586914,135227.117004424,-74.2327473371457,40.5376067093491
"513",919611.57818605,135467.415222183,-74.2325514844937,40.5382666820691
"514",919639.996826187,135598.195800796,-74.2324504909894,40.5386258559894
"515",919682.106201172,135834.071228027,-74.2323012432641,40.5392735940839
"520",919569.955993682,140053.95721437,-74.2327450723926,40.5508555251315
"524",919869.566589355,140238.124023452,-74.2316687094611,40.5513632061524
"537",920137.899414077,124863.955810592,-74.2305575254872,40.5091660635246
"538",920273.735595703,124348.6680298,-74.2300641719306,40.5077526772665
"539",920203.830993667,124613.365600601,-74.2303180565042,40.5084787173475
"543",920317.313232452,124641.557006866,-74.2299102281001,40.5085569156386
"545",920869.239807129,124794.041198745,-74.2279268644023,40.5089794146266
"548",920945.017211929,124509.530639678,-74.2276516995584,40.5081990283023
"550",919963.962585479,125505.2734375,-74.2311891144616,40.5109250993882
"555",920796.493835479,125040.061035171,-74.2281907735131,40.5096541722445
"562",920038.992004409,127447.152587906,-74.2309377015945,40.5162557279462
"568",919557.979614258,129084.647583008,-74.2326833192984,40.5207468416118
"575",920498.174194366,128803.967407241,-74.2292990140159,40.5199832339277
"576",920446.402587906,128476.484436065,-74.2294821366781,40.5190839842827
"579",919804.741394043,129135.543212891,-74.2317962586707,40.5208883359756
"581",920386.333801299,129243.221801758,-74.2297054163765,40.5211880980425
"583",920438.859985366,129024.354003921,-74.2295144279706,40.5205877261749
"585",920627.842590332,129304.999816909,-74.2288373398031,40.5213594017663
"602",921777.708984405,124007.343200698,-74.224652629859,40.506826520191
"603",921762.276000991,124617.086242676,-74.224713752013,40.508500040106
"607",921595.911438018,126002.322814956,-74.2253248311304,40.5123010769932
"608",921818.184631348,125321.63861087,-74.2245191923654,40.5104342954826
"621",922018.003784195,124008.737609863,-74.2237885375997,40.506832035852
"622",922031.912841827,124657.757202163,-74.2237444816634,40.5086135686388
"625",922633.350219756,124776.380432144,-74.2215827215395,40.5089433630759
"628",922456.205017105,125382.931030288,-74.2222252931398,40.5106069971463
"636",922026.517639175,128149.00799562,-74.2237959592534,40.5181963459265
"641",922117.225402862,129786.721801758,-74.2234847444788,40.522692190193
"645",922324.03338623,129800.159606963,-74.2227410050639,40.5227305201917
"647",922896.85363771,129843.899597198,-74.2206810376749,40.5228545575122
